$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$InterDependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.23,1.09,9.52,0.66,39.71,16.27,2.35,4.84,20.45,1468.41,0.98,0.33
0.18,1.02,6.94,0.52,17.61,49.28,1.76,2.72,40.08,760.24,0.84,0.0
0.65,1.08,9.63,0.53,94.6,25.26,1.11,0.62,19.06,1158.95,0.8,0.03
0.86,0.84,6.21,0.62,12.37,42.2,3.93,2.07,25.91,843.2,0.77,0.05
0.15,1.15,3.33,0.43,11.31,4.26,0.8,1.25,20.37,202.52,0.95,0.23
0.81,0.96,6.96,0.5,58.46,21.84,0.19,2.9,3.14,340.6,0.86,0.63
0.33,0.85,6.08,0.55,18.73,3.25,3.36,1.98,5.89,683.52,0.89,0.4
0.4,1.15,4.97,0.66,47.54,15.86,2.99,3.76,21.71,806.82,0.75,0.13
0.18,1.0,8.45,0.69,72.74,16.5,3.32,1.0,7.78,1261.07,0.83,0.13
0.1,1.1,3.06,0.68,82.9,27.52,0.8,0.71,31.65,135.2,0.64,0.0
0.72,1.12,9.37,0.61,8.22,36.0,0.43,0.3,5.66,666.73,1.0,0.63
0.44,1.03,4.51,0.42,66.38,6.71,2.57,2.45,30.44,774.82,0.96,0.35
0.58,1.18,5.58,0.63,88.74,31.22,2.61,0.49,15.54,840.1,0.5,0.0
0.15,0.84,9.16,0.67,62.31,8.87,2.18,0.55,17.57,768.38,0.94,0.25
0.45,1.01,6.93,0.48,68.71,3.97,3.52,3.3,29.65,1125.87,0.93,0.41
0.39,1.2,4.22,0.65,31.17,18.89,1.9,1.8,37.42,602.12,0.87,0.29
0.17,1.0,8.62,0.65,53.89,36.92,0.21,0.55,27.13,435.66,0.91,0.23
0.47,0.84,2.45,0.41,71.26,26.57,3.63,3.01,20.26,370.74,0.72,0.03
0.85,1.18,4.9,0.53,61.64,36.78,3.09,0.78,17.05,1015.21,0.98,0.32
0.26,0.86,2.08,0.68,87.85,37.84,0.14,4.43,7.38,99.22,0.8,0.11
0.82,0.97,2.02,0.65,42.63,45.77,2.84,4.56,16.7,263.32,0.75,0.04
0.54,1.14,6.11,0.45,29.48,35.54,0.87,1.12,43.81,616.93,0.93,0.0
0.38,1.05,6.95,0.48,79.32,17.14,1.41,0.37,9.37,767.72,0.97,0.48
0.89,0.96,6.57,0.64,82.79,26.59,0.83,1.58,17.97,399.62,0.89,0.64
0.45,0.89,2.64,0.45,77.95,15.86,2.5,0.64,11.59,297.7,0.95,0.5
0.31,1.04,9.9,0.65,5.77,15.24,3.83,2.94,31.91,1900.79,0.96,0.44
0.75,0.88,9.18,0.58,42.47,24.66,1.86,3.66,13.66,562.47,0.61,0.0
0.8,1.13,7.37,0.47,93.93,42.09,3.99,4.16,3.94,1358.7,0.85,0.34
