$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$Inter-Dependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.38,0.9,8.31,0.67,56.87,7.0,3.12,3.08,3.47,806.17,0.93,0.42
0.56,1.12,5.04,0.41,70.65,22.01,1.7,0.13,20.52,587.55,0.82,0.03
0.29,1.12,4.87,0.65,65.75,6.39,2.19,0.61,5.32,664.7,0.76,0.01
0.34,0.99,9.61,0.55,81.57,35.59,1.38,2.95,32.63,1255.84,0.92,0.3
0.4,1.17,8.82,0.69,92.93,29.25,2.89,2.39,34.83,2076.67,0.69,0.0
0.66,0.94,2.17,0.62,39.95,38.01,0.62,0.89,23.65,114.95,0.63,0.0
0.89,0.95,3.33,0.69,99.36,42.89,1.2,0.08,43.21,327.65,0.98,0.14
0.73,1.2,3.26,0.65,87.16,21.76,1.21,0.89,19.08,351.41,0.67,0.0
0.19,1.17,5.25,0.61,28.59,7.21,0.82,3.08,40.52,622.77,0.58,0.0
0.16,0.82,8.72,0.7,24.66,11.7,1.48,4.49,5.06,470.0,0.92,0.4
0.15,1.19,4.37,0.53,55.52,31.67,2.52,2.82,15.47,726.79,0.77,0.06
0.31,0.89,3.7,0.49,32.81,18.62,3.35,1.13,38.55,593.44,0.91,0.53
0.29,0.9,8.28,0.41,78.24,14.04,3.77,4.89,33.32,1161.26,0.9,0.21
0.55,1.0,7.91,0.42,37.02,39.91,3.6,2.79,21.93,1304.51,0.97,0.47
0.33,0.87,3.19,0.55,12.35,32.98,0.3,4.92,19.45,147.02,1.0,0.38
0.21,0.98,7.9,0.53,6.3,49.65,1.91,3.27,23.52,837.54,0.93,0.13
0.11,0.88,5.91,0.52,90.41,29.9,1.76,2.49,4.7,379.02,0.82,0.08
0.87,1.11,8.49,0.66,40.47,32.28,0.13,2.17,28.4,512.51,0.8,0.0
0.49,1.1,5.03,0.52,29.03,4.5,2.92,3.28,12.22,765.16,0.72,0.0
0.19,0.94,9.68,0.53,56.28,47.1,2.23,2.98,43.54,1249.66,0.69,0.0
0.22,0.85,7.13,0.61,16.6,25.0,0.22,4.29,31.57,249.16,0.95,0.17
0.89,0.88,7.48,0.61,27.36,24.83,3.67,4.05,8.32,771.06,0.97,0.35
0.82,1.1,8.72,0.56,43.79,17.46,0.39,0.25,19.56,637.87,0.89,0.0
0.14,1.06,5.69,0.66,43.12,11.62,3.32,1.59,34.02,1146.94,0.94,0.6
0.69,0.85,9.41,0.4,4.07,25.75,0.97,2.94,4.13,437.09,0.75,0.54
0.3,0.9,2.59,0.43,24.51,40.87,1.3,1.03,34.98,274.32,0.73,0.4
0.46,0.94,7.17,0.57,69.24,41.34,2.03,0.98,9.87,747.27,0.97,0.34
0.45,1.14,5.66,0.51,5.91,45.86,0.55,2.37,26.83,426.67,0.59,0.0
0.11,0.91,5.97,0.59,10.76,49.97,0.36,1.39,26.69,402.0,0.86,0.5
0.32,1.05,4.89,0.59,21.59,41.98,3.41,3.66,35.26,1034.42,0.83,0.02
0.44,1.04,7.37,0.59,92.16,14.68,2.88,0.44,13.34,1075.7,0.74,0.0
0.85,0.98,7.7,0.51,10.21,10.58,1.63,0.45,25.9,780.37,0.95,0.16
0.33,0.84,8.6,0.58,16.93,5.74,3.22,3.75,1.19,847.51,0.81,0.47
