$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$Inter-Dependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.18,1.0,8.85,0.57,54.99,36.43,0.39,3.84,11.93,408.8,0.8,0.0
0.28,0.96,2.07,0.64,88.27,44.87,2.83,0.24,37.98,374.29,0.83,0.0
0.45,1.08,7.2,0.59,14.28,25.35,0.71,0.4,39.93,506.54,0.93,0.33
0.44,1.12,4.96,0.62,34.67,19.96,2.66,1.99,28.3,856.42,0.61,0.0
0.62,0.89,9.11,0.44,7.77,40.55,0.76,3.81,26.4,444.23,0.93,0.07
0.52,0.97,6.08,0.48,98.01,29.01,0.83,4.62,25.12,344.83,0.91,0.09
0.35,1.18,3.69,0.63,28.12,4.44,2.72,3.1,5.31,467.24,0.88,0.29
0.31,0.86,8.98,0.63,53.5,43.43,1.58,4.2,5.77,571.13,0.53,0.0
0.22,1.14,8.04,0.41,11.84,7.85,0.4,4.69,2.74,687.55,0.8,0.56
0.32,1.09,4.77,0.65,13.14,1.41,2.05,4.01,25.34,657.78,0.91,0.06
0.26,0.97,6.29,0.43,73.83,30.88,3.79,2.43,6.32,885.2,0.9,0.28
0.89,0.95,4.29,0.53,43.41,42.54,0.15,2.05,26.01,290.07,1.0,0.0
0.48,1.14,4.99,0.63,82.13,30.6,2.43,0.39,14.33,697.11,0.97,0.37
0.49,0.83,4.36,0.55,6.34,12.33,2.0,4.16,7.6,388.57,0.98,0.48
0.8,0.89,7.94,0.53,34.77,1.41,2.01,4.26,14.9,763.21,0.97,0.43
0.19,0.89,3.55,0.49,99.89,36.77,3.22,3.92,38.37,541.7,0.94,0.26
0.79,0.96,4.03,0.64,60.7,13.27,1.11,3.23,27.13,316.59,0.89,0.29
0.38,0.94,7.56,0.47,53.57,42.28,2.41,1.81,10.51,818.73,0.88,0.54
0.41,1.13,3.28,0.45,83.61,1.28,2.71,4.47,38.45,495.69,0.92,0.33
0.43,1.14,7.88,0.59,42.69,14.34,1.38,1.88,10.91,1111.62,0.73,0.0
0.65,1.01,7.31,0.46,7.12,29.09,2.51,0.96,28.18,957.17,0.81,0.0
0.54,1.16,5.55,0.4,96.12,41.32,0.15,4.15,35.14,655.52,0.89,0.33
0.51,1.0,6.13,0.59,35.64,36.88,3.34,0.53,6.3,976.89,0.65,0.02
0.78,1.14,6.31,0.54,94.07,2.72,2.22,1.8,38.19,1244.01,0.85,0.0
0.39,0.97,3.95,0.49,42.7,32.14,2.76,1.45,40.04,599.45,0.93,0.57
0.22,1.15,5.29,0.69,99.0,34.74,0.02,1.53,7.75,310.05,0.6,0.0
0.51,0.86,5.28,0.7,9.79,14.83,3.2,2.84,37.2,902.43,0.67,0.0
0.65,1.08,2.03,0.52,93.01,42.28,2.34,1.82,39.86,297.32,0.93,0.65
0.53,1.1,8.21,0.54,42.58,30.5,0.97,2.39,11.41,641.12,0.93,0.43
0.7,1.04,4.01,0.54,35.91,36.19,3.26,2.77,18.9,691.82,0.88,0.17
0.59,1.17,2.53,0.62,22.13,46.78,3.04,1.33,38.08,591.14,0.69,0.0
0.11,0.93,8.72,0.54,72.02,15.74,0.84,2.38,5.58,556.74,0.93,0.36
0.17,0.88,8.8,0.68,77.69,6.93,1.35,4.61,6.3,641.93,0.84,0.21
0.13,0.88,3.38,0.51,62.53,2.31,1.56,0.6,2.01,267.11,0.82,0.49
0.85,1.18,3.53,0.52,3.46,30.25,3.26,0.24,16.8,684.59,0.69,0.0
0.13,1.19,8.21,0.42,78.56,48.67,3.82,4.25,35.0,2255.47,0.97,0.27
0.4,0.87,3.79,0.53,63.64,39.16,2.34,4.67,43.54,519.18,1.0,0.37
0.43,1.19,2.43,0.43,34.13,8.3,0.24,3.65,30.47,183.73,0.92,0.5
0.72,1.05,7.47,0.49,26.32,30.57,3.14,0.58,18.95,1312.89,0.76,0.0
0.89,0.84,3.96,0.53,83.03,22.08,0.36,1.54,28.45,272.03,1.0,0.27
0.32,0.94,8.65,0.44,35.5,41.83,0.94,2.12,23.86,460.23,0.92,0.35
0.86,1.02,7.99,0.42,90.44,30.2,1.28,4.62,21.66,939.3,1.0,0.19
0.33,1.05,2.35,0.42,31.97,9.25,1.18,3.83,34.77,278.76,0.88,0.14
0.77,1.11,4.67,0.58,41.77,41.99,1.41,3.96,31.88,462.03,0.77,0.0
0.33,0.87,6.56,0.48,55.71,14.24,2.62,2.66,40.11,887.77,0.95,0.26
0.11,0.82,6.13,0.53,41.57,3.74,1.2,1.17,25.74,465.4,0.89,0.26
0.71,0.84,5.99,0.62,63.94,18.64,2.86,3.46,4.26,512.57,0.88,0.22
0.34,1.13,6.96,0.6,47.51,39.46,2.53,3.37,43.26,1464.59,0.65,0.0
0.31,0.92,2.11,0.47,67.8,26.53,0.93,1.67,24.04,155.95,0.93,0.55
0.58,0.85,4.37,0.44,42.2,12.95,3.31,4.75,36.45,740.11,0.99,0.48
0.74,1.16,6.0,0.64,61.79,39.91,3.15,2.57,10.33,1181.28,0.93,0.35
0.44,0.94,5.05,0.63,64.19,34.02,3.14,0.91,39.93,890.97,0.68,0.02
0.44,1.02,3.69,0.58,78.92,26.16,0.01,1.91,3.74,167.22,0.78,0.53
0.51,0.93,9.95,0.62,55.95,13.51,2.62,1.42,18.86,1226.88,0.87,0.63
0.12,1.09,4.23,0.49,86.64,10.71,1.56,2.56,37.04,599.98,0.94,0.19
0.42,1.07,3.77,0.48,44.06,8.31,3.91,3.4,21.17,647.45,0.96,0.41
0.3,0.98,2.28,0.62,71.06,8.91,3.52,1.86,42.57,443.37,0.63,0.0
0.88,1.0,3.66,0.64,82.3,8.42,3.72,4.27,19.67,576.64,0.97,0.21
0.42,0.82,8.1,0.6,1.12,9.77,2.28,0.41,24.82,753.65,0.98,0.44
0.57,1.1,2.1,0.52,12.73,1.25,0.73,3.24,41.56,193.0,0.93,0.46
0.77,1.2,9.54,0.5,98.63,46.2,2.65,0.82,43.46,2337.15,0.9,0.23
0.13,1.08,3.43,0.55,99.03,2.26,1.79,3.18,18.27,375.74,0.89,0.0
0.67,1.04,5.87,0.55,40.93,43.73,2.46,4.52,28.57,863.24,0.91,0.18
0.14,0.99,6.34,0.64,90.54,12.88,0.54,2.94,1.18,417.75,0.63,0.09
0.76,1.07,8.76,0.55,12.65,4.93,0.1,2.54,25.47,643.55,0.92,0.21
0.36,0.89,7.5,0.42,14.4,23.26,2.59,4.16,21.88,646.91,0.97,0.38
0.54,1.02,8.44,0.59,63.61,25.79,1.58,1.61,9.8,959.65,0.61,0.08
0.22,1.1,9.24,0.65,9.11,27.15,3.85,2.31,9.79,1504.12,0.96,0.36
0.86,1.11,8.81,0.64,87.1,40.53,0.49,0.68,17.93,664.26,0.56,0.0
0.82,0.93,9.86,0.51,96.13,45.63,1.89,3.47,24.48,772.99,0.83,0.24
0.86,0.98,6.25,0.64,89.62,38.99,1.96,2.29,20.28,561.42,0.81,0.33
0.63,0.95,8.96,0.58,78.45,26.04,1.67,2.31,8.77,580.92,0.97,0.5
0.54,1.09,7.39,0.45,12.34,8.91,3.54,2.38,13.49,1484.42,0.98,0.54
0.9,0.82,7.61,0.51,22.27,48.19,0.19,1.45,10.18,331.51,0.87,0.38
0.59,1.16,8.68,0.66,29.52,21.19,0.07,1.11,35.15,1067.9,0.78,0.0
0.38,1.16,2.78,0.46,20.67,33.7,1.25,1.99,20.62,382.04,0.94,0.55
0.34,1.17,8.94,0.49,27.86,7.79,1.49,4.79,3.55,1111.34,0.88,0.57
0.55,1.0,5.91,0.67,16.34,39.69,0.37,3.17,30.02,328.0,0.86,0.57
0.83,1.16,3.02,0.65,62.55,27.18,3.39,1.33,22.83,530.85,0.73,0.01
0.32,1.04,4.85,0.59,24.81,12.91,1.44,0.57,31.28,473.56,1.0,0.26
0.49,0.84,9.15,0.58,44.74,39.98,0.31,0.62,29.82,533.2,0.92,0.08
0.54,1.18,2.63,0.5,12.77,29.18,0.96,2.31,27.28,194.98,0.82,0.0
0.61,0.95,2.68,0.52,70.94,38.96,1.84,3.24,9.04,189.41,0.74,0.0
0.53,0.89,4.12,0.48,75.0,29.44,3.11,0.02,3.28,439.11,0.89,0.26
0.6,0.97,4.17,0.57,29.57,34.17,0.75,3.76,6.7,213.37,0.75,0.4
0.87,0.94,4.23,0.68,23.51,44.28,1.72,2.29,15.95,421.5,0.66,0.0
0.68,0.84,8.79,0.42,19.74,23.87,2.43,3.64,23.54,881.12,0.86,0.14
0.17,0.89,2.69,0.55,67.47,24.82,2.66,0.77,23.47,299.15,0.89,0.05
0.78,1.06,8.32,0.5,56.17,49.75,2.95,3.07,18.28,1237.49,0.94,0.24
0.48,1.18,6.37,0.59,95.92,46.18,2.71,4.52,28.22,1442.01,0.97,0.28
0.71,1.1,7.4,0.53,94.42,33.91,2.42,3.48,4.59,1104.78,0.9,0.19
0.34,0.86,5.85,0.52,73.48,15.31,1.62,2.81,36.72,655.98,0.97,0.57
0.38,1.13,2.31,0.51,9.81,42.67,2.28,0.58,38.9,443.49,0.87,0.1
0.84,0.94,7.7,0.56,94.01,1.17,1.19,3.42,43.24,777.85,0.93,0.09
0.25,1.04,5.79,0.53,92.9,16.45,2.55,4.2,9.47,700.77,0.89,0.11
0.57,0.98,5.23,0.53,47.18,35.69,0.89,0.4,29.27,376.72,0.92,0.27
0.83,0.84,5.67,0.47,33.42,29.98,0.15,0.52,18.94,259.19,0.94,0.35
0.9,1.12,3.23,0.46,87.72,43.47,1.46,4.58,6.35,335.94,0.69,0.03
0.15,0.85,3.47,0.65,6.2,30.94,2.08,3.2,33.08,399.39,0.8,0.05
0.84,1.05,4.53,0.55,88.55,33.7,3.03,3.59,29.36,794.76,0.95,0.41
0.46,0.97,4.77,0.65,83.89,48.49,1.1,2.82,3.56,363.84,0.9,0.41
0.71,1.07,7.42,0.56,75.32,8.68,2.14,3.94,19.09,1254.3,0.96,0.54
0.15,1.12,3.44,0.57,21.44,45.43,1.44,4.23,9.35,336.4,0.93,0.15
0.67,0.98,8.35,0.47,49.09,36.32,2.31,1.99,41.03,1494.47,0.88,0.49
0.58,1.03,5.77,0.65,60.9,15.22,2.42,2.01,35.93,940.27,0.96,0.53
0.1,0.88,8.96,0.57,46.08,39.91,3.48,3.2,13.18,1045.01,0.8,0.06
0.71,1.15,3.12,0.47,38.47,35.89,0.92,2.6,43.95,395.97,1.0,0.33
0.24,1.12,7.3,0.46,56.38,24.64,0.84,4.55,7.61,573.87,0.46,0.0
0.64,0.84,7.07,0.52,70.23,37.62,3.9,5.0,17.03,875.81,0.65,0.01
0.34,0.89,5.82,0.6,98.85,21.5,1.65,3.1,22.18,542.83,0.79,0.05
0.12,1.19,7.99,0.47,25.87,25.08,0.46,2.63,35.98,1076.02,0.92,0.21
0.24,0.91,9.4,0.54,58.41,42.24,2.4,4.16,11.83,1179.23,0.91,0.27
0.17,1.03,7.67,0.69,30.59,35.03,0.46,3.96,15.88,522.65,0.67,0.0
0.72,0.94,2.67,0.47,11.19,46.51,1.17,4.3,1.38,198.93,0.76,0.53
0.57,0.85,9.08,0.5,38.64,48.83,3.77,2.54,9.18,904.24,0.95,0.45
0.25,1.18,5.71,0.68,4.63,32.32,2.8,2.25,2.86,885.02,0.89,0.4
0.56,1.18,5.31,0.45,99.51,23.39,3.0,2.73,43.65,1314.64,0.9,0.25
0.22,0.99,2.41,0.52,91.38,34.92,1.69,4.98,41.13,301.92,0.46,0.0
0.18,0.96,4.16,0.57,67.68,31.46,2.38,4.82,9.8,419.26,0.98,0.37
0.58,0.93,7.29,0.51,30.98,12.33,3.82,2.63,11.95,915.43,0.75,0.01
0.81,0.94,6.15,0.66,51.86,38.4,1.51,3.88,6.89,428.29,0.71,0.29
0.37,1.17,9.37,0.58,66.99,41.14,1.14,2.94,2.12,1003.85,0.74,0.43
0.15,1.16,5.8,0.56,3.83,41.17,3.59,2.53,11.54,1238.79,0.89,0.2
0.29,0.94,6.31,0.46,83.14,43.89,3.53,2.46,31.72,978.08,0.89,0.31
0.41,0.95,6.14,0.45,3.82,11.3,3.26,4.4,3.7,705.14,0.83,0.16
0.12,0.83,4.63,0.51,54.17,28.11,2.49,2.88,26.59,425.78,0.67,0.0
0.74,0.84,7.36,0.44,91.75,23.27,1.97,3.67,2.31,387.14,0.89,0.56
0.59,0.86,7.35,0.6,11.15,2.13,3.43,3.46,27.56,905.2,0.81,0.0
0.29,0.82,8.65,0.62,61.64,5.06,1.89,1.04,30.14,541.07,0.9,0.33
0.38,1.14,2.3,0.6,48.79,12.98,1.21,0.11,10.35,237.94,0.95,0.23
0.43,0.84,4.42,0.5,46.08,28.41,2.55,3.6,32.81,434.74,0.92,0.07
0.46,0.9,7.0,0.57,89.05,49.75,1.08,1.3,18.9,620.52,0.92,0.3
0.75,0.91,4.03,0.5,77.06,45.17,3.49,0.16,4.62,485.12,0.92,0.45
0.28,1.07,5.24,0.51,9.3,10.24,2.77,1.62,43.62,850.48,0.82,0.0
0.62,1.2,5.57,0.61,29.9,8.87,2.5,1.83,2.08,705.12,0.62,0.04
0.4,0.89,9.47,0.44,99.47,12.77,2.52,3.15,6.18,984.46,0.94,0.53
0.62,1.14,9.7,0.54,78.35,28.81,3.71,0.28,11.36,1741.48,0.82,0.06
0.14,1.06,3.56,0.58,92.5,45.0,2.47,2.5,32.49,429.52,0.75,0.03
0.1,1.15,9.67,0.57,17.6,9.66,1.55,1.18,23.26,1608.75,0.88,0.27
0.24,0.86,2.91,0.51,86.48,28.46,1.2,2.47,1.39,213.43,0.85,0.61
0.13,0.89,5.23,0.63,52.04,2.42,0.16,2.07,1.79,204.22,1.0,0.56
0.12,1.03,4.34,0.43,8.68,42.55,1.63,3.31,13.84,398.3,0.92,0.11
0.31,1.1,6.04,0.59,8.48,12.71,3.81,0.97,8.57,1010.11,0.95,0.23
0.35,0.97,4.02,0.6,78.67,42.63,1.99,0.72,32.75,375.98,0.74,0.0
0.26,1.04,6.17,0.42,11.39,22.5,1.63,2.92,31.56,766.29,1.0,0.21
0.5,0.91,6.87,0.61,47.37,13.73,0.85,0.12,43.16,359.23,1.0,0.19
0.9,1.06,7.55,0.46,67.29,22.32,3.89,2.54,35.4,1436.47,0.9,0.23
0.63,0.91,8.49,0.68,20.32,22.24,0.41,0.42,3.97,313.89,0.92,0.35
0.29,1.12,4.08,0.59,1.75,7.04,3.94,0.79,11.47,748.27,0.95,0.21
0.75,1.15,2.7,0.46,25.64,46.34,0.63,2.55,3.65,141.85,0.83,0.29
0.77,1.0,3.84,0.67,32.32,26.23,0.89,3.09,13.47,227.55,1.0,0.53
0.7,1.04,4.5,0.41,90.55,30.02,1.13,0.56,6.85,365.87,0.77,0.08
0.87,1.03,4.35,0.59,50.68,34.8,2.19,1.48,31.74,652.44,0.77,0.04
0.47,0.93,3.12,0.42,86.81,17.81,0.12,2.71,31.65,197.41,0.92,0.0
0.6,1.1,8.12,0.61,22.4,20.99,1.88,2.42,41.07,1054.85,0.65,0.0
0.17,0.92,6.7,0.7,35.82,24.24,3.86,1.0,27.92,920.04,0.93,0.48
0.38,1.06,5.66,0.48,47.59,44.08,2.6,2.76,24.9,880.8,0.95,0.27
0.11,0.83,6.4,0.69,24.3,18.66,3.19,4.04,34.07,943.06,0.91,0.19
0.89,1.12,5.74,0.55,39.51,23.97,1.98,1.83,20.03,699.23,0.78,0.16
0.49,1.08,9.62,0.42,88.29,47.3,0.41,4.15,42.38,1207.87,0.89,0.56
0.52,1.1,3.71,0.7,36.27,23.59,2.92,0.75,29.71,604.74,0.86,0.03
0.17,0.9,9.53,0.53,41.22,1.74,1.64,3.34,1.26,555.05,0.59,0.17
0.9,1.16,9.84,0.55,64.26,5.83,1.07,0.35,29.37,1360.92,0.95,0.16
0.29,1.01,7.68,0.64,65.5,22.05,2.23,1.73,3.45,788.33,0.88,0.46
0.53,1.12,4.07,0.69,30.78,33.47,1.23,4.22,13.16,401.85,0.91,0.09
0.53,1.12,2.61,0.42,57.25,14.34,1.16,3.82,13.68,274.21,0.74,0.08
0.45,0.97,3.89,0.45,78.68,12.71,0.1,1.91,10.86,173.65,0.9,0.4
0.26,1.13,5.58,0.51,23.61,37.69,3.01,3.67,12.1,1013.15,0.81,0.08
0.36,0.89,7.07,0.51,31.84,10.79,0.54,3.78,20.31,496.6,1.0,0.53
0.33,1.19,3.54,0.56,66.55,45.2,3.32,1.01,1.27,651.32,0.54,0.03
0.28,1.16,7.05,0.57,79.77,16.55,1.84,2.18,39.41,930.41,0.9,0.34
0.75,0.87,4.1,0.4,86.04,45.12,2.43,1.56,22.69,462.22,0.92,0.6
0.56,0.94,5.91,0.46,20.33,23.78,2.83,2.17,20.88,592.78,0.8,0.07
0.14,1.08,7.94,0.67,19.97,3.79,0.92,0.61,8.86,512.88,0.9,0.18
0.82,1.15,2.22,0.48,42.32,3.15,2.3,2.47,32.16,385.95,0.95,0.53
0.73,1.07,3.29,0.5,94.52,33.67,3.72,3.57,34.85,590.48,0.97,0.38
0.14,1.19,2.77,0.61,7.09,38.94,1.51,3.78,7.18,267.73,0.87,0.21
0.85,0.94,7.28,0.43,37.92,20.58,1.82,2.32,32.02,733.04,0.91,0.26
0.24,1.03,8.83,0.41,33.8,28.35,2.1,2.78,9.23,1085.48,0.72,0.02
0.69,0.95,4.19,0.44,17.24,1.46,1.23,0.63,40.06,429.27,0.8,0.0
0.72,1.02,4.21,0.64,89.09,30.52,2.38,0.48,17.39,613.17,0.98,0.32
0.21,1.18,8.37,0.67,46.39,28.55,1.81,2.25,33.41,1391.51,0.97,0.5
0.13,1.05,2.91,0.52,55.0,21.7,0.0,1.27,18.06,177.94,0.8,0.0
0.76,0.88,4.56,0.41,29.33,32.87,3.03,2.88,7.58,575.8,0.95,0.51
0.64,0.9,2.92,0.62,62.3,29.53,0.56,3.33,35.7,216.51,0.87,0.5
0.41,1.1,3.38,0.45,85.57,22.99,3.94,4.64,36.91,765.68,0.78,0.0
0.78,0.89,3.27,0.47,6.9,40.5,2.29,2.56,21.59,345.1,0.92,0.13
0.64,1.08,5.9,0.52,38.62,15.11,2.97,4.66,34.04,1030.6,0.89,0.25
0.44,1.12,6.25,0.69,52.96,31.88,1.01,4.37,16.58,595.43,0.6,0.03
0.67,1.11,8.47,0.63,93.41,18.31,3.94,2.81,30.96,1966.07,0.9,0.08
0.51,0.91,2.8,0.52,68.12,22.23,2.15,1.92,18.66,329.08,0.67,0.03
0.57,0.83,3.19,0.67,60.17,44.64,3.25,3.26,31.02,493.21,0.88,0.24
0.59,1.11,6.91,0.67,37.14,16.63,3.44,4.92,3.54,1115.7,0.88,0.24
0.57,1.08,3.53,0.4,76.21,17.24,3.34,3.14,42.69,856.82,0.77,0.03
0.25,1.12,9.43,0.48,52.13,32.64,0.2,1.93,4.2,675.37,0.75,0.0
0.88,1.16,9.88,0.47,57.88,9.26,0.24,1.7,13.6,1131.86,0.82,0.31
0.17,1.13,4.25,0.45,54.52,46.52,2.08,0.0,39.79,787.5,0.96,0.19
0.17,0.84,5.03,0.48,77.33,45.4,3.58,2.23,17.11,647.79,0.82,0.1
0.19,0.86,3.62,0.58,40.62,21.24,0.61,3.64,9.29,168.93,0.92,0.39
0.5,1.19,3.42,0.46,14.6,40.94,3.85,3.78,9.24,609.36,0.72,0.04
0.45,1.13,6.94,0.52,84.27,24.59,3.0,3.91,1.0,1054.38,0.67,0.2
0.5,0.99,9.54,0.68,47.67,35.33,3.83,4.32,12.39,1416.48,0.83,0.13
0.13,0.95,3.29,0.56,21.74,4.36,2.83,1.96,29.71,432.86,0.79,0.0
0.29,1.1,2.36,0.55,30.62,16.42,0.37,3.48,36.32,199.01,0.83,0.17
0.75,0.9,2.99,0.57,68.51,9.43,0.44,2.7,32.26,174.56,0.75,0.38
0.53,1.19,5.21,0.58,15.55,1.27,2.26,1.14,32.72,982.98,0.89,0.49
0.48,1.2,2.85,0.56,98.31,22.01,2.24,1.17,20.32,547.23,0.91,0.57
0.19,0.87,9.24,0.42,17.72,17.01,1.27,1.58,21.45,864.24,0.84,0.13
0.52,1.12,5.89,0.47,48.76,22.79,0.32,3.46,10.97,267.42,0.6,0.0
0.48,0.84,3.64,0.7,78.64,8.93,0.61,0.76,42.91,287.7,1.0,0.47
0.46,1.08,9.47,0.57,52.94,39.56,0.95,2.79,38.65,456.42,0.47,0.0
0.22,1.15,8.24,0.53,10.06,46.61,2.25,1.83,17.71,1416.55,0.94,0.32
0.54,0.85,8.16,0.66,71.66,7.83,3.0,3.02,22.51,948.13,0.98,0.33
0.27,1.04,4.28,0.47,80.55,2.56,3.16,3.13,12.18,652.1,0.94,0.16
0.25,0.82,5.26,0.65,57.64,44.96,0.95,2.97,11.66,182.81,0.71,0.17
0.66,1.08,9.46,0.61,82.55,18.36,2.92,0.63,8.83,1223.47,0.86,0.13
0.21,1.04,3.9,0.42,93.01,6.4,3.98,0.41,10.88,628.48,0.94,0.17
0.68,1.05,5.93,0.65,77.29,17.78,0.0,4.61,33.73,484.07,0.75,0.05
0.36,1.02,5.44,0.48,77.63,4.56,0.83,1.92,42.82,453.99,0.94,0.57
