$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$InterDependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.68,0.82,5.1,0.6,31.09,45.56,3.63,4.72,1.41,470.57,0.61,0.24
0.54,1.14,9.28,0.54,97.59,33.92,0.32,4.21,15.04,567.94,0.89,0.06
0.51,0.93,6.98,0.48,34.99,29.45,3.38,3.71,19.84,1002.8,0.82,0.1
0.49,1.1,4.15,0.45,39.67,4.14,2.69,4.25,9.93,502.41,0.96,0.21
0.31,1.19,2.25,0.57,69.56,12.91,2.1,2.26,29.85,343.12,0.97,0.31
0.75,1.03,9.07,0.58,68.46,5.02,1.06,3.31,33.04,1041.45,0.88,0.34
0.68,0.99,2.69,0.57,36.06,8.91,2.95,1.7,13.45,290.64,0.91,0.47
0.2,0.89,4.87,0.5,12.25,30.13,2.6,4.22,4.38,453.43,0.92,0.48
0.55,0.96,9.3,0.69,60.93,49.08,0.4,3.15,23.04,460.99,1.0,0.53
0.8,0.87,4.46,0.61,53.2,44.1,2.15,1.42,9.21,385.15,0.9,0.44
0.54,0.98,4.81,0.49,33.53,7.18,1.13,3.8,14.58,423.64,0.9,0.14
0.57,1.0,6.3,0.65,14.5,16.39,2.21,2.04,37.37,921.1,0.95,0.41
0.61,1.03,8.05,0.44,91.31,29.55,2.14,3.62,24.22,1256.67,0.94,0.41
0.36,0.83,4.77,0.49,4.07,48.81,0.91,2.59,1.6,173.89,0.75,0.0
0.14,0.91,3.88,0.5,38.49,45.59,0.45,4.08,28.17,169.89,0.88,0.36
0.24,1.03,3.27,0.43,25.89,40.75,1.88,4.05,33.51,305.84,0.82,0.21
0.1,1.2,2.55,0.55,15.76,28.87,2.21,2.54,16.8,339.22,0.94,0.31
0.26,0.9,9.73,0.69,51.5,34.29,2.01,4.76,7.45,972.68,0.9,0.28
0.21,1.2,6.0,0.68,78.91,32.65,3.74,0.17,18.38,1346.31,0.64,0.0
0.88,1.06,2.53,0.64,60.69,10.6,1.26,1.72,31.33,340.41,0.9,0.33
0.46,0.88,8.62,0.56,94.23,3.25,2.99,4.35,21.12,888.9,0.86,0.0
0.37,0.86,4.6,0.47,75.69,35.72,3.16,1.65,22.49,602.81,0.9,0.6
0.44,0.92,9.27,0.61,51.93,32.64,3.73,4.24,23.69,1278.87,0.82,0.06
0.71,0.93,7.88,0.56,35.82,14.35,2.44,0.87,1.67,652.37,0.8,0.24
0.29,0.85,8.75,0.58,8.54,6.68,1.81,2.53,32.25,576.28,0.9,0.19
0.58,1.0,7.66,0.59,92.39,5.29,1.7,4.06,28.65,755.69,0.98,0.41
0.87,0.91,3.77,0.54,30.79,10.04,3.55,0.61,28.2,622.09,0.99,0.4
0.65,1.19,2.19,0.47,30.42,6.21,1.13,2.07,28.22,218.66,0.97,0.42
0.88,0.83,7.18,0.55,40.04,8.89,2.67,2.96,15.36,625.16,0.95,0.5
0.78,1.18,5.52,0.69,13.36,27.12,0.98,4.82,15.87,572.28,0.9,0.1
0.41,0.95,7.49,0.66,97.57,44.87,1.9,0.88,13.98,671.84,1.0,0.25
0.82,1.16,4.11,0.52,78.73,21.48,1.35,3.39,19.89,596.16,0.92,0.35
0.79,1.13,9.45,0.55,98.61,18.26,3.08,3.82,26.7,1997.8,0.89,0.2
0.6,0.91,7.26,0.51,22.19,12.2,2.42,4.38,26.36,915.29,0.98,0.38
0.28,1.13,3.63,0.6,85.06,18.05,3.44,2.32,10.26,605.96,0.93,0.32
0.88,1.06,4.03,0.47,15.0,48.78,0.71,0.25,39.29,325.97,0.88,0.42
0.26,0.99,2.56,0.62,33.93,13.99,0.58,4.17,10.65,107.68,1.0,0.27
0.5,0.89,4.92,0.49,73.06,16.06,0.7,4.7,37.76,363.91,0.92,0.48
0.62,0.85,9.23,0.62,39.19,2.23,1.36,3.78,17.79,683.41,0.97,0.35
0.35,1.17,9.41,0.41,30.01,36.35,0.37,2.12,13.99,944.9,0.9,0.31
0.54,1.2,9.43,0.65,91.87,41.82,3.71,3.23,21.15,2350.74,0.97,0.38
0.7,1.0,7.85,0.56,38.74,41.09,1.29,0.57,26.42,758.87,0.68,0.07
0.63,0.83,8.55,0.43,88.38,39.17,1.71,4.46,5.95,416.92,0.69,0.17
0.69,1.11,7.98,0.62,36.05,4.72,1.27,4.48,41.48,1181.97,0.88,0.07
0.41,1.12,6.91,0.59,38.83,33.3,1.43,1.53,18.47,788.45,0.92,0.53
0.65,0.82,4.28,0.49,42.91,41.78,1.26,4.2,40.66,382.23,0.96,0.34
0.73,0.88,7.17,0.45,10.74,34.82,1.16,2.65,20.25,489.43,0.86,0.33
0.55,0.96,9.91,0.46,41.27,1.73,3.46,4.91,1.35,1166.27,0.83,0.66
0.7,1.09,5.93,0.7,96.15,23.9,0.52,1.29,36.14,599.99,0.76,0.0
0.72,1.15,3.3,0.52,14.77,46.33,1.63,4.81,35.16,417.84,0.98,0.15
0.54,0.87,8.14,0.61,94.56,14.72,3.17,3.79,23.45,1043.58,0.88,0.07
0.41,0.86,3.18,0.46,78.23,16.06,2.35,1.85,9.05,290.3,0.94,0.5
0.83,0.99,7.86,0.69,53.29,26.46,3.05,0.13,24.46,1154.76,0.92,0.08
0.54,1.0,4.87,0.41,54.71,47.95,3.65,2.8,10.08,782.68,0.67,0.03
0.28,0.9,9.12,0.59,24.85,9.45,1.46,1.27,28.04,967.9,0.9,0.5
0.83,1.16,8.36,0.56,66.45,35.65,3.99,4.89,2.11,1649.42,0.63,0.24
0.27,0.91,4.93,0.69,91.57,14.05,1.9,4.9,28.16,519.89,0.97,0.0
0.3,0.91,7.76,0.59,65.12,22.13,2.94,4.93,37.21,837.06,0.77,0.01
0.74,1.1,3.7,0.69,93.76,18.47,0.62,3.29,12.11,171.87,0.86,0.63
0.61,0.96,8.75,0.62,79.65,10.81,2.24,3.36,7.81,929.72,0.97,0.53
0.63,1.02,8.43,0.5,54.05,39.48,3.95,3.52,39.48,1661.13,0.86,0.09
0.66,0.98,7.47,0.58,35.58,42.03,1.42,4.92,37.61,840.89,0.63,0.11
0.2,0.91,9.27,0.59,74.79,33.96,3.57,1.08,22.7,1348.18,0.77,0.17
0.72,1.12,4.0,0.62,57.63,36.14,2.66,2.48,36.68,891.33,0.74,0.0
0.57,1.09,3.53,0.41,78.42,33.57,1.49,4.18,28.03,367.51,0.98,0.23
0.61,1.13,6.57,0.63,12.45,42.87,3.91,2.58,17.11,1628.08,0.77,0.1
0.66,1.13,4.61,0.67,66.27,3.17,0.87,1.54,32.56,470.69,0.5,0.0
0.79,0.97,2.17,0.58,19.28,16.31,0.29,4.56,29.29,103.8,1.0,0.29
0.24,1.13,3.28,0.45,78.88,1.13,2.76,3.04,25.11,601.29,0.96,0.37
0.7,0.97,9.15,0.64,2.51,17.75,3.06,0.74,40.47,1668.87,0.9,0.07
0.47,1.14,7.06,0.65,4.96,43.37,3.95,3.95,5.43,1137.82,0.72,0.04
0.85,0.91,7.48,0.59,82.95,17.24,0.24,4.7,1.96,325.64,0.86,0.45
0.82,0.85,5.09,0.69,63.48,27.84,1.72,2.2,26.77,454.64,0.54,0.13
0.62,1.1,5.0,0.4,69.86,46.62,1.61,3.02,6.92,391.73,0.88,0.4
0.21,0.97,4.1,0.59,62.24,11.44,3.27,2.88,15.45,596.51,0.96,0.33
0.47,1.13,5.21,0.57,83.01,5.41,3.51,0.41,20.47,1081.71,0.97,0.38
0.58,1.1,5.73,0.46,69.72,16.99,1.86,3.41,43.17,685.84,0.52,0.0
0.43,1.02,2.87,0.54,68.75,22.7,0.06,3.58,30.97,149.11,1.0,0.35
0.14,1.2,2.76,0.44,95.83,45.86,2.89,2.55,5.2,342.82,0.83,0.24
0.12,1.14,3.67,0.44,34.2,30.14,1.84,0.7,25.31,320.07,0.77,0.0
0.88,1.08,9.96,0.56,1.6,38.49,3.79,2.74,11.52,1744.45,0.96,0.4
0.45,0.85,4.93,0.68,97.11,24.8,1.4,1.39,26.99,334.22,0.96,0.49
0.43,0.98,6.23,0.55,73.3,29.32,1.15,1.47,43.12,882.14,0.57,0.0
0.48,1.11,6.42,0.56,40.44,42.22,3.44,2.8,43.17,1803.98,0.95,0.3
0.17,1.19,4.8,0.49,94.4,17.58,3.41,1.99,22.56,1083.39,0.7,0.03
0.64,1.15,6.61,0.45,41.14,31.47,1.46,0.19,22.84,780.19,0.87,0.07
0.79,0.97,8.1,0.42,79.57,35.6,1.06,2.69,1.11,742.88,0.79,0.56
0.39,1.0,3.0,0.54,38.3,23.94,2.12,0.85,18.0,429.74,0.87,0.19
0.46,1.18,4.2,0.67,23.93,46.98,2.83,4.28,36.69,869.49,0.7,0.03
0.48,0.98,9.56,0.41,83.84,45.13,0.47,4.65,30.12,752.72,0.63,0.17
0.39,1.06,7.89,0.65,50.61,6.54,3.3,0.55,35.21,1778.12,0.95,0.08
0.32,1.03,3.77,0.43,96.6,13.92,1.38,1.54,3.23,327.46,0.92,0.58
0.45,1.1,8.01,0.67,87.7,3.16,3.81,4.71,40.18,2215.08,0.93,0.22
0.46,1.03,6.45,0.64,78.8,9.39,2.93,0.25,20.3,863.85,0.88,0.06
0.16,0.91,7.45,0.51,38.0,37.37,1.28,2.57,8.83,509.97,0.64,0.0
0.67,1.04,9.37,0.67,55.06,33.74,2.86,3.64,5.13,1114.86,0.91,0.17
0.13,0.86,2.33,0.5,92.44,31.67,1.48,0.47,3.72,164.8,0.89,0.36
0.57,1.16,4.0,0.52,17.22,12.38,1.21,2.61,37.83,565.19,0.96,0.51
0.62,1.06,6.45,0.47,64.76,17.34,1.04,1.63,25.82,652.96,0.91,0.6
0.79,0.84,7.11,0.6,11.97,18.52,1.08,0.33,9.54,450.73,0.95,0.49
0.82,1.17,2.89,0.57,9.9,28.08,2.71,1.86,28.66,488.51,0.8,0.21
0.29,0.99,7.69,0.62,89.62,20.42,1.65,2.38,32.17,642.46,0.96,0.27
0.26,1.08,7.51,0.44,57.29,33.24,1.34,1.38,27.21,765.37,0.92,0.63
0.14,1.02,2.71,0.52,85.07,41.86,3.73,1.37,11.37,453.41,0.87,0.29
0.72,1.03,9.02,0.5,52.76,5.31,1.88,4.81,3.12,914.66,0.65,0.11
0.17,1.17,7.94,0.6,17.16,46.94,2.25,4.63,28.62,1657.72,0.97,0.39
0.58,1.04,9.33,0.41,14.05,40.47,2.58,0.99,24.36,1351.15,0.92,0.1
0.9,1.03,3.39,0.43,99.97,1.75,0.56,2.04,35.79,275.4,0.85,0.15
0.17,0.89,9.32,0.49,99.61,48.27,1.03,0.63,5.84,732.81,0.75,0.23
0.49,1.1,2.8,0.53,8.96,30.12,0.49,3.24,24.68,272.41,0.86,0.45
0.78,1.05,4.13,0.62,31.17,3.78,1.05,4.47,34.63,451.47,0.8,0.0
0.76,0.84,2.41,0.64,1.45,33.05,0.74,3.04,22.46,126.55,0.83,0.0
0.16,1.1,9.05,0.54,69.34,40.26,3.76,4.74,32.52,2129.64,0.96,0.24
0.67,1.11,5.7,0.56,91.38,2.3,3.98,0.07,24.08,1071.57,0.99,0.33
0.73,1.2,8.17,0.45,26.48,14.4,0.71,3.19,29.64,498.53,0.88,0.13
0.42,0.86,4.62,0.45,75.2,47.42,0.8,2.68,30.41,321.9,0.9,0.18
0.89,1.19,5.77,0.4,73.67,1.14,2.35,3.36,5.41,1047.45,0.88,0.25
0.43,0.92,5.17,0.47,10.93,14.11,2.7,0.59,13.76,442.1,0.98,0.44
0.33,1.14,2.99,0.61,84.21,46.04,2.39,4.98,28.6,529.03,0.71,0.0
0.9,1.15,4.51,0.59,71.43,31.72,0.8,3.89,19.55,386.97,0.48,0.0
0.67,1.11,6.57,0.56,96.04,21.68,0.35,3.66,22.34,340.71,0.89,0.11
0.74,0.97,6.61,0.66,31.95,2.73,2.7,3.6,41.31,801.84,0.55,0.0
0.38,1.04,2.44,0.56,64.11,23.72,3.87,1.9,19.51,382.75,0.71,0.02
0.6,0.9,8.58,0.53,27.11,40.85,1.26,4.06,28.61,619.38,0.89,0.09
0.38,0.9,9.87,0.42,33.59,37.41,2.52,3.06,14.67,1013.44,0.83,0.27
0.17,0.98,6.16,0.63,52.5,48.43,1.69,4.19,15.69,567.06,0.95,0.37
0.13,1.1,9.89,0.44,55.6,42.66,2.1,3.08,39.25,1769.15,0.78,0.0
0.14,1.16,8.99,0.67,38.53,29.29,1.75,1.72,23.28,1579.76,0.58,0.0
0.1,1.01,2.88,0.45,39.6,15.8,1.43,2.78,30.35,304.71,0.96,0.36
0.23,1.09,5.5,0.55,16.88,2.19,3.45,3.66,34.04,1245.59,0.93,0.41
0.25,0.99,5.9,0.45,26.7,30.69,1.76,3.86,12.91,480.76,0.95,0.3
0.1,1.06,6.19,0.64,17.08,23.3,3.04,3.29,12.15,1094.67,0.81,0.06
0.17,1.18,6.39,0.47,19.74,18.57,2.31,1.35,28.34,1372.69,0.88,0.64
0.81,1.07,9.4,0.59,17.11,34.69,0.46,0.46,20.85,632.35,0.6,0.0
0.89,1.15,4.81,0.44,82.69,2.91,2.56,0.54,42.77,1091.57,0.98,0.42
0.4,1.17,8.78,0.53,1.32,23.49,3.73,1.5,30.89,2253.18,0.89,0.41
0.28,1.0,7.03,0.51,32.77,10.43,0.28,4.56,37.84,360.17,0.94,0.48
0.87,1.18,2.67,0.59,49.82,31.24,0.52,1.21,33.1,233.98,1.0,0.0
0.66,1.03,7.89,0.41,79.97,42.34,2.2,1.77,39.19,1421.35,0.93,0.63
0.37,0.89,9.72,0.46,65.09,19.35,0.47,4.82,5.31,436.69,0.77,0.23
0.22,1.04,6.76,0.41,27.74,28.76,0.21,1.98,13.24,532.94,0.85,0.27
0.88,1.14,5.49,0.61,17.88,19.66,1.28,4.55,43.14,827.82,0.96,0.33
0.37,0.96,8.79,0.58,53.62,6.2,2.16,2.18,9.93,870.8,0.96,0.47
0.4,0.86,5.45,0.52,97.62,36.04,0.02,1.05,30.19,246.4,1.0,0.59
0.1,0.84,8.32,0.45,8.13,12.23,0.88,3.51,32.77,354.33,1.0,0.5
0.78,0.93,5.86,0.59,86.75,17.7,2.64,0.04,6.06,609.82,0.97,0.44
0.81,1.06,6.49,0.66,66.43,22.18,3.31,4.14,23.11,1173.01,0.92,0.13
0.67,0.9,2.74,0.48,85.97,39.27,3.11,0.3,34.05,429.89,0.72,0.0
0.59,0.86,8.34,0.62,99.25,46.34,2.04,4.38,21.23,738.51,0.77,0.05
0.21,1.17,6.79,0.65,64.43,2.38,1.48,2.9,22.97,850.25,0.82,0.0
0.16,1.02,4.45,0.51,34.34,3.84,2.33,1.62,22.15,514.94,0.92,0.4
0.16,1.06,6.59,0.54,54.3,4.58,0.86,1.67,4.77,379.31,0.92,0.54
0.8,1.02,2.04,0.55,40.19,29.64,3.73,3.94,31.73,381.12,0.84,0.24
0.33,1.15,8.34,0.59,42.43,37.81,2.92,4.1,1.06,1066.79,0.79,0.57
0.81,0.9,6.76,0.65,25.4,27.68,1.12,1.92,4.67,395.58,0.8,0.49
0.23,1.14,4.97,0.51,34.87,24.04,0.15,4.22,9.9,395.34,0.92,0.44
0.81,0.88,6.35,0.55,59.96,18.39,1.12,4.01,33.2,607.4,0.92,0.08
0.79,1.14,6.57,0.57,89.99,36.75,0.56,1.42,36.78,678.17,0.82,0.18
0.46,0.86,2.08,0.47,79.67,23.51,0.91,2.57,34.16,171.13,0.7,0.0
0.5,1.18,6.47,0.5,87.81,45.51,1.92,3.17,40.86,913.47,0.94,0.49
0.74,0.89,9.94,0.56,96.03,26.21,3.34,3.79,30.45,1437.78,0.69,0.0
0.77,1.13,5.15,0.58,47.06,43.68,3.21,4.48,29.18,1080.4,0.83,0.07
0.55,1.17,8.85,0.52,43.44,7.58,2.35,2.87,42.14,1773.77,0.96,0.17
0.44,0.99,5.85,0.61,67.24,3.52,0.78,4.27,30.55,385.92,1.0,0.27
0.77,0.86,9.64,0.42,76.03,20.91,1.77,1.27,25.52,974.01,0.93,0.48
0.73,0.9,5.1,0.47,60.31,7.79,0.82,3.08,36.57,262.95,0.89,0.41
0.79,0.85,9.18,0.69,13.2,47.24,1.05,3.39,35.07,695.44,0.82,0.0
0.7,1.16,9.48,0.62,42.03,32.41,2.91,1.72,17.57,1513.11,0.9,0.35
0.87,1.2,6.42,0.64,51.63,45.58,1.09,2.6,19.94,770.65,0.85,0.15
0.42,0.98,5.94,0.42,96.09,7.49,3.23,4.63,42.48,1082.49,0.85,0.03
0.36,0.86,8.28,0.4,59.19,46.67,2.83,2.36,37.39,944.23,0.87,0.3
0.5,0.93,7.72,0.53,75.49,38.99,2.4,1.61,38.1,829.57,0.7,0.0
0.47,1.11,9.91,0.68,35.81,36.7,1.48,1.62,13.79,981.38,0.81,0.12
0.66,0.96,2.93,0.65,49.7,19.89,1.95,0.77,7.25,191.15,0.89,0.26
0.5,1.09,4.46,0.64,76.33,5.06,1.82,4.7,16.79,471.52,0.98,0.3
0.44,0.89,3.55,0.57,21.95,4.97,0.23,0.6,25.85,206.61,1.0,0.5
0.37,1.06,9.01,0.67,86.45,41.3,2.68,4.33,30.65,1395.29,0.79,0.08
0.73,1.13,3.89,0.57,90.66,21.44,1.75,4.32,19.89,512.88,0.89,0.09
0.86,1.09,3.9,0.62,2.02,21.92,0.56,0.86,42.87,184.1,1.0,0.0
0.25,1.15,3.57,0.62,29.22,8.32,1.71,1.17,7.47,366.26,0.92,0.46
0.68,1.1,9.3,0.57,70.55,33.58,0.2,2.89,42.75,774.44,0.7,0.0
0.14,0.93,3.64,0.54,2.1,36.45,2.07,3.45,30.43,578.94,0.85,0.0
